Date ,Product ID,Product Name ,Amount,Cost,Price($),State,Profit,Lookup Id,Lookup Price,LookUp Name
24/10/2020,51,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth),2,10.12,23.99,Sold-out,13.87,14,19.99,PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Pink
25/10/2020,9,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black),1,8.63,15.99,Sold-out,7.36,15,18.99,PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Blue
26/10/2020,69,Smartish iPhone 13 Slim Case - Gripmunk - [Lightweight + Protective] Thin Grip Cover - Black Tie Affair,2,8.18,14.99,Sold-out,6.81,16,14.99,Spigen Rugged Armor Designed for iPhone 13 Case (2021) - Matte Black
27/10/2020,84,NKECXKJ Design for iPhone 13 Mini Phone Case with Screen Protector Card Holder Stand Kickstand Heavy Duty Slim Shockproof Hybrid Rugged Drop Protective Cover for Women Men Girls 5.4 inch Black,1,11.02,15.99,Sold-out,4.97,17,16.99,"K TOMOTO Compatible with iPhone 13 Case [Drop Protection] [Anti-Scratch] Shockproof Liquid Silicone Anti-Fingerprint Cover with Microfiber Lining Phone Case for iPhone 13 6.1"" (2021) Hot Pink"
28/10/2020,13,CASEKOO Multi Armor for iPhone 13 Case [Mil-Grade Drop Tested] Slim Thin Protective Phone Cases Matte Translucent Shockproof Cover 6.1 inch 2021 Blue,0,21.38,23.99,Sold-out,2.61,18,13.99,Mkeke Compatible with iPhone 13 Case Clear Transparent Shockproof Protective Bumpers Phone Cases for iPhone 13 Released 2021
29/10/2020,62,Spigen Ultra Hybrid Designed for iPhone 13 Pro Max Case (2021) - Matte Black,1,12.13,15.99,Sold-out,3.86,19,15.99,Mkeke Compatible with iPhone 13 Case Blue Transparent Shockproof Protective Phone Cases for iPhone 13 Released 2021 Blue
30/10/2020,80,LOZOP Compatible with iPhone 13 Case Military Grade Shockproof Cover Protective Phone Case with Screen Protector for iPhone 13 6.1 Inch (Black),0,0.68,12.89,Sold-out,12.21,20,7.99,JETech Case Compatible with iPhone 13 6.1-Inch Shockproof Phone Bumper Cover Anti-Scratch Clear Back (HD Clear)
31/10/2020,68,"HOTWAV 2022 Designed for iPhone 13 Case | Soft Texture | Translucent Matte Back | Anti -Scratchi | Dirt-Resistanti | Slim Fit for iPhone 13 6.1"" - Black",1,1.79,2.99,Sold-out,1.20,21,9.99,JETech Case Compatible with iPhone 13 6.1-Inch Shockproof Phone Bumper Cover Anti-Scratch Clear Back (Blue)
01/11/2020,11,GVIEWIN Designed for iPhone 13 Case 6.1 Inch with Tempered Glass Screen Protector + Camera Lens Protector Clear Flower Soft & Flexible Shockproof Floral Women Phone Cover (Abundant Blossom/White),2,0.49,16.99,Sold-out,16.50,22,14.99,ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-WineRed
02/11/2020,9,Red2Fire Designed for iPhone 13 Case with Built-in Screen Protector 360Â° Full Body Protective Cover Heavy Duty Lightweight Slim Shockproof Clear Phone Case for iPhone 13 6.1 inch (Black),0,0.31,15.99,Sold-out,15.68,23,14.98,ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-Blue
03/11/2020,97,TAURI [3 in 1] Defender Designed for iPhone 13 Pro Case 6.1 Inch with 2 Pack Tempered Glass Screen Protector + 2 Pack Camera Lens Protector [Military Grade Protection] Shockproof Slim Thin,1,2.75,15.29,Sold-out,12.54,24,17.99,Humixx Crystal Clear Designed for iPhone 13 Case [Not Yellowing] [Military Grade Drop Protection] [Anti-Scratch] Hard PC Back and Soft TPU Bumper Shockproof Protective 13 Phone Case Cover 6.1 Inch
04/11/2020,63,Spigen Ultra Hybrid S [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear,2,0.94,16.99,Sold-out,16.05,25,21.99,Humixx Designed for iPhone 13 Case [Not Yellowing] [Military Grade Drop Tested] [Anti-Scratch] Clear PC Back with Soft Black TPU Bumper Slim Fit Protective Cover for 13 Phone 6.1 Inch Bright Black
05/11/2020,6,CASEKOO Crystal Series for iPhone 13 case [Military Grade Drop Protection][Not Yellowing] Shockproof Protective Phone Case Slim Cover 6.1 inch 2021 Pink,2,16.74,21.99,Sold-out,5.25,26,14.99,ORNARTO Compatible with iPhone 13 Case 6.1 Slim Liquid Silicone 3 Layers Full Covered Soft Gel Rubber Case Cover 6.1 inch-Navy Blue
06/11/2020,95,Elando Crystal Clear Case Compatible with iPhone 13 Pro Case Non-Yellowing Protective Shockproof Slim Thin Phone Case 6.1 inch Classic Blue,0,14.82,15.99,Sold-out,1.17,27,15.99,ORNARTO Compatible with iPhone 13 Case 6.1 Slim Liquid Silicone 3 Layers Full Covered Soft Gel Rubber Case Cover 6.1 inch-Brown
07/11/2020,51,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth),3,13.29,23.99,Sold-out,10.70,28,14.99,NTG [1st Generation] Designed for iPhone 13 Case Heavy-Duty Tough Rugged Lightweight Slim Shockproof Protective Case for iPhone 13 6.1 InchBlack
08/11/2020,1,ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-Lemon Yellow,0,6.78,16.99,Sold-out,10.21,29,12.99,NTG [1st Generation] Designed for iPhone 13 Case Heavy-Duty Tough Rugged Lightweight Slim Shockproof Protective Case for iPhone 13 6.1 Inch (Cherry Juice Pink)
09/11/2020,93,Spigen Tough Armor [Extreme Protection Tech] Designed for iPhone 13 Case (2021) - Gunmetal,0,6.51,17.99,Sold-out,11.48,30,5.94,JJGoo Compatible with iPhone 13 Case Clear Glitter Sparkle Bling Sparkly Shockproof Protective Cute Slim Thin Phone Cases Cover for Women Girls - 6.1 inch 2021
10/11/2020,56,LUPA Legacy iPhone 13 Wallet Case - Case with Card Holder - [Slim + Durable] for Women and Men - iPhone 13 Flip Cell Phone case - Faux Leather - Folio Cover - Burgundy,0,11.67,23.99,Sold-out,12.32,31,9.99,JJGoo Compatible with iPhone 13 Case Clear Glitter Sparkle Bling Shock Absorption Protective Phone Cases Cute Slim Thin Cover for Women Girls (6.1 inch) 2021- Blue Glitter
11/11/2020,100,Linyune Flower Case for iPhone 13 Pressed Real Flowers Clear Case with Floral Design for Cute Girls Women [Rings Stand] Soft TPU Flexible Rubber Bumper Cover for iPhone 136.1 inch Light Blue,3,6.79,12.99,Sold-out,6.20,32,9.99,JJGoo Compatible with iPhone 13 Case Clear Glitter Sparkle Bling Shock Absorption Protective Phone Cases Cute Slim Thin Cover for Women Girls (6.1 inch) 2021- Purple Glitter
12/11/2020,18,Mkeke Compatible with iPhone 13 Case Clear Transparent Shockproof Protective Bumpers Phone Cases for iPhone 13 Released 2021,1,4.93,13.99,Sold-out,9.06,33,16.99,Spigen Liquid Air Armor Designed for iPhone 13 Pro Case (2021) - Navy Blue
13/11/2020,98,TAURI [3 in 1] Defender Designed for iPhone 13 Pro Case 6.1 Inch with 2 Pack Tempered Glass Screen Protector + 2 Pack Camera Lens Protector [Military Grade Protection] Shockproof Slim Thin,0,7.06,16.99,Sold-out,9.93,34,21.99,Spigen Ultra Hybrid Mag [Anti-Yellowing Technology] Compatible with MagSafe Designed for iPhone 13 Pro Case (2021) - Black
14/11/2020,18,Mkeke Compatible with iPhone 13 Case Clear Transparent Shockproof Protective Bumpers Phone Cases for iPhone 13 Released 2021,3,13.03,13.99,Sold-out,0.96,35,19.99,Humixx Shockproof Series for iPhone 13 Case [10FT Military Grade Drop Protection] [Ultimate Touch Feeling] Translucent Matte Back and 4-Corner Airbag Armor Phone Case iPhone 13 6.1 inch Space Black
15/11/2020,38,Spigen Ultra Hybrid Designed for iPhone 13 Case (2021) - Frost Black,0,10.71,16.99,Sold-out,6.28,36,24.99,"Humixx Shockproof Designed for iPhone 13 Case [Military Grade Drop Tested] [Airbag Protection] Translucent Matte Back and Soft Edge Slim Case Compatible with iPhone 13 6.1"" 5G - Pine Green"
16/11/2020,15,PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Blue,0,9.45,18.99,Sold-out,9.54,37,16.99,Spigen Ultra Hybrid Designed for iPhone 13 Case (2021) - Sand Beige
17/11/2020,60,Diverbox for iPhone 13 Case [Shockproof] [Dropproof] [Dust-Proof]Heavy Duty Protection Phone Case Cover for Apple iPhone 13 (Dark Green),1,10.29,14.99,Sold-out,4.70,38,16.99,Spigen Ultra Hybrid Designed for iPhone 13 Case (2021) - Frost Black
18/11/2020,58,Coolwee Clear Glitter Compatible iPhone 13 Case Flower Slim Cute Crystal Lace Bling Shiny Women Girl Floral Hard Back Soft TPU Bumper Protective Cover Compatible Apple iPhone 13 6.1 inch Mandala Henna,1,1.41,11.99,Sold-out,10.58,39,16.99,Spigen Ultra Hybrid Designed for iPhone 13 Pro Case (2021) - Red Crystal
19/11/2020,72,Apple Silicone Case with MagSafe (for iPhone 13 Pro) - Pink Pomelo,3,38.35,49,Sold-out,10.65,40,16.99,Spigen Ultra Hybrid Designed for iPhone 13 Pro Case (2021) - Frost Black
20/11/2020,20,JETech Case Compatible with iPhone 13 6.1-Inch Shockproof Phone Bumper Cover Anti-Scratch Clear Back (HD Clear),0,7.75,7.99,Sold-out,0.24,41,13.99,iPhone 13 CaseSunflower Rose Pattern iPhone 13 Cases for Girls Women [Anti-Scratch] Soft TPU Shockproof Design Cover Case for iPhone 13ï¼ˆ6.1inchï¼‰
21/11/2020,42,iPhone 13 Pro CaseBlack Gold Marble for Girls Womens Pattern Design Shockproof Anti-Scratch Case for Apple iPhone 13 Pro 6.1-inch,3,3.75,11.99,Sold-out,8.24,42,11.99,iPhone 13 Pro CaseBlack Gold Marble for Girls Womens Pattern Design Shockproof Anti-Scratch Case for Apple iPhone 13 Pro 6.1-inch
22/11/2020,49,JETech Case Compatible with iPhone 13 6.1-Inch Shockproof Phone Bumper Cover Anti-Scratch Clear Back (HD Clear),0,7.21,7.99,Sold-out,0.78,43,17.99,Miracase Compatible with iPhone 13 case 6.1 inch [Glass Instead Plastic] with Built-in 9H Tempered Glass Screen Protector for iPhone 132021 Upgrade Full-Body Glass Clear Case Dark Blue
23/11/2020,38,Spigen Ultra Hybrid Designed for iPhone 13 Case (2021) - Frost Black,1,4.46,16.99,Sold-out,12.53,44,19.99,Miracase Compatible with iPhone 13 case 6.1 inch 2021 Upgrade Full-Body Glass Clear Case Bumper Case with Built-in 9H Tempered Glass Screen Protector for iPhone 13Black
24/11/2020,68,"HOTWAV 2022 Designed for iPhone 13 Case | Soft Texture | Translucent Matte Back | Anti -Scratchi | Dirt-Resistanti | Slim Fit for iPhone 13 6.1"" - Black",1,2.31,2.99,Sold-out,0.68,45,9.99,JETech Silicone Case Compatible with iPhone 13 6.1-Inch Silky-Soft Touch Full-Body Protective Phone Case Shockproof Cover with Microfiber Lining (Black)
25/11/2020,45,JETech Silicone Case Compatible with iPhone 13 6.1-Inch Silky-Soft Touch Full-Body Protective Phone Case Shockproof Cover with Microfiber Lining (Black),1,8.41,9.99,Sold-out,1.58,46,11.99,JETech Silicone Case Compatible with iPhone 13 6.1-Inch Silky-Soft Touch Full-Body Protective Phone Case Shockproof Cover with Microfiber Lining (Cobalt Blue)
26/11/2020,19,Mkeke Compatible with iPhone 13 Case Blue Transparent Shockproof Protective Phone Cases for iPhone 13 Released 2021 Blue,0,10.95,15.99,Sold-out,5.04,47,14.99,Smartish iPhone 13 Slim Case - Gripmunk - [Lightweight + Protective] Thin Grip Cover - Black Tie Affair
27/11/2020,51,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth),1,20.42,23.99,Sold-out,3.57,48,30.99,KEZiHOME Case for iPhone 13 Genuine Leather [RFID Blocking] Wallet Flip Magnetic Case with Card Slots Stand Shockproof Folio Phone Cover Compatible with iPhone 13 5G (6.1 inch) (Black/Brown)
28/11/2020,14,PELEPUES Shockproof Case for iPhone 13 6.1 inch [Embedded Finger Ring] Military Grade Phone Case Cover with Reinforced Metal Stand Kickstand [Support Magnetic Car Holder] for iPhone 13 Pink,2,6.01,19.99,Sold-out,13.98,49,7.99,JETech Case Compatible with iPhone 13 6.1-Inch Shockproof Phone Bumper Cover Anti-Scratch Clear Back (HD Clear)
29/11/2020,29,NTG [1st Generation] Designed for iPhone 13 Case Heavy-Duty Tough Rugged Lightweight Slim Shockproof Protective Case for iPhone 13 6.1 Inch (Cherry Juice Pink),1,11.00,12.99,Sold-out,1.99,50,39.95,OTTERBOX COMMUTER SERIES Case for iPhone 13 (ONLY) - ROCK SKIP WAY
30/11/2020,7,OTTERBOX COMMUTER SERIES Case for iPhone 13 (ONLY) - MAVEN WAY,0,3.61,39.95,Sold-out,36.34,51,23.99,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ameth)
01/12/2020,65,Smartish iPhone 13 Slim Case - Gripmunk Compatible with MagSafe [Lightweight + Protective] Thin Grip Cover with Microfiber Lining - Nothin' to Hide,3,11.48,19.99,Sold-out,8.51,52,23.99,i-Blason Cosmo Series Case for iPhone 13 6.1 inch (2021 Release) Slim Full-Body Stylish Protective Case with Built-in Screen Protector(Ocean)
02/12/2020,99,Linyune iPhone 13 Flower Case with Ring Holder Pressed Real Flowers Clear Case with Floral Design for Cute Girls WomenSoft TPU Flexible Rubber Bumper Cover for iPhone 136.1 inch Navy Blue,3,5.23,10.99,Sold-out,5.76,53,9.99,JETech Silicone Case Compatible with iPhone 13 6.1-Inch Silky-Soft Touch Full-Body Protective Phone Case Shockproof Cover with Microfiber Lining (Black)
03/12/2020,17,"K TOMOTO Compatible with iPhone 13 Case [Drop Protection] [Anti-Scratch] Shockproof Liquid Silicone Anti-Fingerprint Cover with Microfiber Lining Phone Case for iPhone 13 6.1"" (2021) Hot Pink",0,6.28,16.99,Sold-out,10.71,54,11.99,JETech Silicone Case Compatible with iPhone 13 6.1-Inch Silky-Soft Touch Full-Body Protective Phone Case Shockproof Cover with Microfiber Lining (Cobalt Blue)
04/12/2020,86,Jmltech Compatible with iPhone 13 Pro Max Case Flower Clear Frosted Hard Back Slim Thin Cute Silicone Protective Women Camera Protection Phone Case for iPhone 13 Pro Max Mandala,0,5.83,9.99,Sold-out,4.16,55,14.99,"Diaclara Designed for iPhone 13 Case Full Body Rugged Case with Built-in Touch Sensitive Anti-Scratch Screen Protector Soft TPU Bumper Case for iPhone 13 6.1"" (Pearl Pink)"
05/12/2020,22,ORNARTO Shockproof Liquid Silicone Designed for iPhone 13 Case Gel Rubber Full Body Protection Anti-Shock Cover Case Drop Protection 6.1inch-WineRed,1,9.53,14.99,Sold-out,5.46,56,23.99,LUPA Legacy iPhone 13 Wallet Case - Case with Card Holder - [Slim + Durable] for Women and Men - iPhone 13 Flip Cell Phone case - Faux Leather - Folio Cover - Burgundy
06/12/2020,76,JIAXIUFEN Compatible with iPhone 13 Case Gold Sparkle Glitter Marble Slim Shockproof TPU Soft Rubber Silicone Cover Phone Case for iPhone 13 6.1 inch 2021 Dark Blue,3,9.08,12.99,Sold-out,3.91,57,22.99,LUPA Legacy iPhone 13 Wallet Case - Case with Card Holder - [Slim + Durable] for Women and Men - iPhone 13 Flip Cell Phone case - Faux Leather - Folio Cover - Caramel Brown
07/12/2020,87,Diverbox for iPhone 13 Case [Shockproof] [Dropproof] [Dust-Proof]Heavy Duty Protection Phone Case Cover for Apple iPhone 13 (Black),3,3.57,12.74,Sold-out,9.17,58,11.99,Coolwee Clear Glitter Compatible iPhone 13 Case Flower Slim Cute Crystal Lace Bling Shiny Women Girl Floral Hard Back Soft TPU Bumper Protective Cover Compatible Apple iPhone 13 6.1 inch Mandala Henna
08/12/2020,44,Miracase Compatible with iPhone 13 case 6.1 inch 2021 Upgrade Full-Body Glass Clear Case Bumper Case with Built-in 9H Tempered Glass Screen Protector for iPhone 13Black,2,9.22,19.99,Sold-out,10.77,59,12.74,Diverbox for iPhone 13 Case [Shockproof] [Dropproof] [Dust-Proof]Heavy Duty Protection Phone Case Cover for Apple iPhone 13 (Blue)
09/12/2020,54,JETech Silicone Case Compatible with iPhone 13 6.1-Inch Silky-Soft Touch Full-Body Protective Phone Case Shockproof Cover with Microfiber Lining (Cobalt Blue),3,2.62,11.99,Sold-out,9.37,60,14.99,Diverbox for iPhone 13 Case [Shockproof] [Dropproof] [Dust-Proof]Heavy Duty Protection Phone Case Cover for Apple iPhone 13 (Dark Green)
10/12/2020,93,Spigen Tough Armor [Extreme Protection Tech] Designed for iPhone 13 Case (2021) - Gunmetal,1,10.76,17.99,Sold-out,7.23,61,14.49,Spigen Ultra Hybrid [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear
11/12/2020,31,JJGoo Compatible with iPhone 13 Case Clear Glitter Sparkle Bling Shock Absorption Protective Phone Cases Cute Slim Thin Cover for Women Girls (6.1 inch) 2021- Blue Glitter,1,1.03,9.99,Sold-out,8.96,62,15.99,Spigen Ultra Hybrid Designed for iPhone 13 Pro Max Case (2021) - Matte Black
12/12/2020,67,CASEKOO Twinkle Star for iPhone 13 Pro [Clear Glitter] [Never Yellow] Military Grade Protection [Sparkly Shiny Bling] Slim Thin Shockproof Protective Phone Case for Women Girls-6.1 inch,1,20.53,20.98,Sold-out,0.45,63,16.99,Spigen Ultra Hybrid S [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear
13/12/2020,76,JIAXIUFEN Compatible with iPhone 13 Case Gold Sparkle Glitter Marble Slim Shockproof TPU Soft Rubber Silicone Cover Phone Case for iPhone 13 6.1 inch 2021 Dark Blue,2,9.90,12.99,Sold-out,3.09,64,19.99,Smartish iPhone 13 Slim Case - Gripmunk Compatible with MagSafe [Lightweight + Protective] Thin Grip Cover with Microfiber Lining - Black Tie Affair
14/12/2020,61,Spigen Ultra Hybrid [Anti-Yellowing Technology] Designed for iPhone 13 Pro Max Case (2021) - Crystal Clear,2,5.14,14.49,Sold-out,9.35,65,19.99,Smartish iPhone 13 Slim Case - Gripmunk Compatible with MagSafe [Lightweight + Protective] Thin Grip Cover with Microfiber Lining - Nothin' to Hide
15/12/2020,68,"HOTWAV 2022 Designed for iPhone 13 Case | Soft Texture | Translucent Matte Back | Anti -Scratchi | Dirt-Resistanti | Slim Fit for iPhone 13 6.1"" - Black",2,1.17,2.99,Sold-out,1.82,66,19.98,CASEKOO for iPhone 13 Pro Case [Military Drop Protection] [Anti Fade] Shockproof Protective Phone Case Slim Thin Cover 6.1 inch 2021 Black
16/12/2020,46,JETech Silicone Case Compatible with iPhone 13 6.1-Inch Silky-Soft Touch Full-Body Protective Phone Case Shockproof Cover with Microfiber Lining (Cobalt Blue),2,9.14,11.99,Sold-out,2.85,67,20.98,CASEKOO Twinkle Star for iPhone 13 Pro [Clear Glitter] [Never Yellow] Military Grade Protection [Sparkly Shiny Bling] Slim Thin Shockproof Protective Phone Case for Women Girls-6.1 inch
17/12/2020,92,Cordking iPhone 11 Case Silicone Ultra Slim Shockproof Phone Case with [Soft Anti-Scratch Microfiber Lining] 6.1 inch Fluorescent Green,3,13.82,13.98,Sold-out,0.16,68,2.99,"HOTWAV 2022 Designed for iPhone 13 Case | Soft Texture | Translucent Matte Back | Anti -Scratchi | Dirt-Resistanti | Slim Fit for iPhone 13 6.1"" - Black"
18/12/2020,84,NKECXKJ Design for iPhone 13 Mini Phone Case with Screen Protector Card Holder Stand Kickstand Heavy Duty Slim Shockproof Hybrid Rugged Drop Protective Cover for Women Men Girls 5.4 inch Black,3,5.29,15.99,Sold-out,10.70,69,14.99,Smartish iPhone 13 Slim Case - Gripmunk - [Lightweight + Protective] Thin Grip Cover - Black Tie Affair
19/12/2020,64,Smartish iPhone 13 Slim Case - Gripmunk Compatible with MagSafe [Lightweight + Protective] Thin Grip Cover with Microfiber Lining - Black Tie Affair,3,6.15,19.99,Sold-out,13.84,70,21.99,i-Blason Ares Case for iPhone 13 6.1 inch (2021 Release) Dual Layer Rugged Clear Bumper Case with Built-in Screen Protector(Black)
20/12/2020,24,Humixx Crystal Clear Designed for iPhone 13 Case [Not Yellowing] [Military Grade Drop Protection] [Anti-Scratch] Hard PC Back and Soft TPU Bumper Shockproof Protective 13 Phone Case Cover 6.1 Inch,2,6.53,17.99,Sold-out,11.46,71,21.99,i-Blason Ares Case for iPhone 13 6.1 inch (2021 Release) Dual Layer Rugged Clear Bumper Case with Built-in Screen Protector(Peach)
21/12/2020,25,Humixx Designed for iPhone 13 Case [Not Yellowing] [Military Grade Drop Tested] [Anti-Scratch] Clear PC Back with Soft Black TPU Bumper Slim Fit Protective Cover for 13 Phone 6.1 Inch Bright Black,1,10.22,21.99,Sold-out,11.77,72,49,Apple Silicone Case with MagSafe (for iPhone 13 Pro) - Pink Pomelo
22/12/2020,76,JIAXIUFEN Compatible with iPhone 13 Case Gold Sparkle Glitter Marble Slim Shockproof TPU Soft Rubber Silicone Cover Phone Case for iPhone 13 6.1 inch 2021 Dark Blue,2,6.28,12.99,Sold-out,6.71,73,13.99,Designed for iPhone 13 CaseORETECH iPhone 13 Case with 2 x Tempered Glass Screen Protector&Camera Lens Protector for iPhone 13 Hard PC+TPU Shockproof Non-Slip Case Cover for iPhone 13 Case-Black
23/12/2020,46,JETech Silicone Case Compatible with iPhone 13 6.1-Inch Silky-Soft Touch Full-Body Protective Phone Case Shockproof Cover with Microfiber Lining (Cobalt Blue),3,1.34,11.99,Sold-out,10.65,74,18.99,ESR Air Armor Case Compatible with iPhone 13 Case Military-Grade Drop Protection Shock-Absorbing Corners Yellowing-Resistant Hard Back Scratch Resistant Frosted Black
